1750066733.5944881	115	8083	10323
1750066738.6146615	115	8089	10330
1750066743.62919	115	8102	10337
1750066748.645571	115	8111	10353
1750066753.6620865	115	8120	10359
1750066758.6799548	115	8127	10375
1750066763.702636	115	8138	10388
1750066768.717122	115	8148	10408
1750066773.731656	115	8165	10424
1750066778.7472756	115	8172	10439
1750066783.7652085	115	8186	10449
1750066788.787204	115	8198	10460
1750066793.801771	115	8209	10469
1750066798.817305	115	8225	10487
1750066803.833289	115	8237	10499
1750066808.8500063	115	8252	10509
1750066813.8723607	115	8262	10520
1750066818.8870416	115	8274	10533
1750066823.9023745	115	8286	10543
1750066828.9188147	116	8299	10554
1750066833.934509	116	8308	10563
1750066838.9576142	116	8322	10579
1750066843.9717488	117	8337	10597
1750066848.987238	117	8352	10609
1750066854.0034335	117	8359	10622
1750066859.018667	117	8373	10631
1750066864.0440402	118	8381	10645
1750066869.0595818	118	8390	10656
1750066874.0752344	118	8395	10670
1750066879.091782	118	8403	10679
1750066884.1093106	118	8411	10694
1750066889.1290004	118	8418	10706
1750066894.1427364	118	8425	10718
1750066899.1586442	118	8432	10729
1750066904.174253	118	8440	10747
1750066909.1914744	118	8447	10757
1750066914.2177262	118	8466	10766
1750066919.2323327	118	8477	10784
1750066924.2490041	118	8484	10800
1750066929.2659006	118	8491	10814
1750066934.2825449	118	8502	10829
1750066939.301803	119	8509	10844
1750066944.3160203	119	8519	10856
1750066949.3317523	119	8528	10868
1750066954.346743	119	8540	10884
1750066959.3633957	119	8554	10895
1750066964.387416	119	8565	10913
1750066969.403257	119	8572	10932
1750066974.4186728	120	8581	10941
1750066979.4359136	120	8589	10958
1750066984.4526432	120	8598	10976
1750066989.4770722	120	8612	10988
1750066994.4933958	121	8624	11008
1750066999.5105739	121	8633	11027
1750067004.5279286	121	8645	11037
